AñosExperiencia,NivelEducacion,Puntaje,Salario
6.24,3,73.08,58436.10
14.31,4,78.02,100542.58
11.25,3,74.65,76953.98
9.38,1,63.31,62497.39
3.18,4,86.43,54024.34
1.08,2,69.00,35704.42
8.78,3,79.59,68785.76
5.99,1,71.95,52141.73
12.59,4,82.28,88644.94
2.88,2,75.35,42877.59
10.56,3,70.67,73413.59
7.03,1,65.89,59859.47
4.13,4,89.12,55792.78
13.65,3,76.00,95328.61
0.90,2,62.55,38965.81
11.88,4,84.72,83597.45
6.51,1,69.34,57231.13
9.82,3,72.20,71548.96
3.46,2,77.88,46987.03
12.90,4,80.56,91755.33
7.90,1,66.46,61012.88
5.12,3,74.92,55379.18
10.23,2,79.12,69482.60
1.56,4,83.30,40119.73
8.16,3,71.39,64891.21
4.79,1,64.08,51026.99
13.22,4,77.54,93115.77
2.03,2,73.88,44155.30
9.55,3,75.61,68109.14
6.87,1,61.80,56342.64
11.54,4,81.03,85471.21
3.91,2,70.05,48264.90
8.50,3,73.56,66738.05
5.46,1,67.22,53255.41
10.89,4,79.86,78847.97
1.29,2,65.13,37082.07
7.32,3,76.34,60576.31
4.47,1,62.98,49143.76
12.18,4,83.96,86719.57
2.65,2,71.62,41733.01
9.03,3,78.54,65411.44
6.10,1,64.80,54489.82
13.97,4,85.19,98467.19
0.99,2,69.69,39527.48
7.63,3,72.77,63174.66
4.99,1,68.03,51901.23
11.76,4,80.12,82375.01
3.28,2,74.29,45664.75
8.27,3,77.08,64217.56
5.73,1,63.65,53893.98
10.67,4,82.55,77621.84
1.78,2,70.94,40781.40
7.99,3,74.16,61890.23
4.24,1,66.89,50139.04
12.39,4,78.81,89387.81
2.97,2,72.35,43546.95
9.15,3,76.61,67435.20
6.35,1,60.98,55068.48
14.19,4,84.45,99855.42
0.78,2,67.69,36360.72
7.14,3,73.32,59183.13
4.61,1,65.55,50714.37
12.00,4,81.30,84333.78
3.08,2,75.95,44817.61
8.61,3,70.33,66061.61
5.27,1,69.06,52872.78
10.35,4,83.69,76285.60
1.90,2,72.01,41411.96
7.43,3,75.05,61298.69
4.02,1,61.31,48831.14
12.61,4,86.77,90124.06
2.43,2,73.13,42395.38
9.39,3,71.10,69808.83
6.73,1,66.12,57820.00
13.01,4,79.38,92491.69
0.67,2,64.46,35042.05
7.75,3,77.82,62533.99
5.16,1,62.13,52560.22
11.14,4,82.82,81609.34
3.57,2,70.40,47603.16
8.89,3,74.39,67074.38
5.57,1,68.37,54188.65
10.46,4,81.57,77057.96
1.40,2,66.52,39223.70
7.20,3,75.75,60195.68
4.35,1,63.73,49776.42
12.89,4,85.96,91087.76
2.22,2,71.20,43039.56
9.66,3,79.05,70471.10
6.98,1,60.64,58156.35
13.33,4,83.16,94504.89
0.56,2,68.66,34379.78
7.52,3,72.50,61916.56
5.38,1,65.19,53560.02
11.03,4,80.40,80945.68
3.79,2,76.22,46276.91
8.39,3,73.90,65394.97
5.88,1,61.04,54703.34
10.78,4,84.20,78184.32
1.67,2,67.39,40057.07
7.09,3,71.72,59521.13
4.60,1,64.45,50402.76
12.29,4,82.01,87455.94
2.32,2,74.69,42071.75
9.93,3,78.28,72172.33
6.62,1,63.15,56605.63
13.44,4,81.88,95941.97
0.45,2,66.00,33717.52
7.36,3,70.00,60000.00
5.00,1,65.00,52000.00
11.00,4,80.00,80000.00
3.00,2,75.00,45000.00
8.00,3,72.00,63000.00
5.50,1,67.00,54000.00
10.00,4,82.00,75000.00
1.50,2,69.00,38000.00
7.75,3,74.00,61000.00
4.00,1,64.50,4800.00
