Fecha,Mes,Dia_Semana,Hora_Inicio,Hora_Fin,Tiempo_Ejecucion,Tiempo_min,Tipo_Pipeline,Sistema_Origen,Prioridad,Duplicados,Nivel_Duplicados,Registros_Duplicados_est,Registros_Procesados,Throughput,Registros_Rechazados,Reglas_Calidad,Nulos,Reintentos,CPU,RAM,Disco,Latencia,Region,Latitud,Longitud,Pipeline_ID,Severidad,Estado
2025-03-12,3,Wednesday,21:00,23:00,117.53,1.96,Streaming,POS,Alta,4,Alto,12639,315967,736,3475,5,7,1,42,56,41,65,Norte,-23.7493,-70.43713,P1006,Baja,OK
2025-06-22,6,Sunday,09:00,09:00,184.54,3.08,Batch,CRM,Media,3,Medio,6521,217356,406,2390,6,8,1,73,36,58,144,Centro,-33.39963,-70.81541,P1006,Baja,OK
2025-06-25,6,Wednesday,09:00,11:00,92.12,1.54,Streaming,POS,Baja,2,Medio,3431,171531,1181,857,1,3,2,36,37,45,47,Centro,-33.39485,-70.64456,P1006,Baja,OK
2025-03-10,3,Monday,07:00,08:00,194.41,3.24,Batch,POS,Media,4,Alto,19875,496880,575,2981,4,2,2,37,74,45,121,Sur,-39.75125,-73.31049,P1006,Baja,OK
2025-04-15,4,Tuesday,11:00,13:00,136.39,2.27,Streaming,ERP,Baja,4,Alto,8460,211489,860,2114,2,6,1,71,47,66,100,Centro,-33.50168,-70.73751,P1006,Baja,OK
2025-03-25,3,Tuesday,17:00,19:00,139.73,2.33,Batch,POS,Alta,2,Medio,8515,425742,1077,2554,4,4,1,70,37,67,73,Centro,-33.34318,-70.85221,P1006,Baja,OK
2025-06-18,6,Wednesday,12:00,14:00,110.89,1.85,Streaming,Web,Alta,1,Bajo,890,89021,509,356,1,3,1,53,79,57,90,Norte,-23.53101,-70.35298,P1006,Baja,OK
2025-05-01,5,Thursday,04:00,06:00,109.39,1.82,Streaming,IoT,Baja,2,Medio,1588,79420,503,555,1,5,2,62,49,57,35,Centro,-33.55006,-70.46523,P1006,Baja,OK
2025-05-23,5,Friday,16:00,17:00,105.41,1.76,Streaming,CRM,Alta,4,Alto,8267,206686,1003,1446,4,3,0,77,34,68,58,Centro,-33.25913,-70.56702,P1006,Baja,OK
2025-04-28,4,Monday,11:00,12:00,163.18,2.72,Batch,POS,Baja,5,Alto,22756,455118,769,5461,4,7,0,80,75,75,100,Norte,-23.79381,-70.29204,P1006,Baja,OK
2025-01-05,1,Sunday,18:00,19:00,96.12,1.6,Streaming,ERP,Baja,3,Medio,3375,112490,543,1012,4,6,1,63,72,50,25,Sur,-39.63142,-73.33639,P1006,Baja,OK
2025-05-12,5,Monday,02:00,04:00,106.77,1.78,Batch,Web,Media,5,Alto,11249,224982,988,1349,2,1,0,59,56,49,92,Sur,-39.67077,-73.30917,P1006,Baja,OK
