Latitud,Longitud,Region,Sistema_Origen,Nivel_Duplicados,Duplicados,Registros_Duplicados_est,Registros_Rechazados,Fecha,Tipo_Pipeline
-23.7493,-70.43713,Norte,POS,Alto,4,12639,3475,2025-03-12,Streaming
-33.39963,-70.81541,Centro,CRM,Medio,3,6521,2390,2025-06-22,Batch
-33.39485,-70.64456,Centro,POS,Medio,2,3431,857,2025-06-25,Streaming
-39.75125,-73.31049,Sur,POS,Alto,4,19875,2981,2025-03-10,Batch
-33.50168,-70.73751,Centro,ERP,Alto,4,8460,2114,2025-04-15,Streaming
-33.34318,-70.85221,Centro,POS,Medio,2,8515,2554,2025-03-25,Batch
-23.53101,-70.35298,Norte,Web,Bajo,1,890,356,2025-06-18,Streaming
-33.55006,-70.46523,Centro,IoT,Medio,2,1588,555,2025-05-01,Streaming
-33.25913,-70.56702,Centro,CRM,Alto,4,8267,1446,2025-05-23,Streaming
-23.79381,-70.29204,Norte,POS,Alto,5,22756,5461,2025-04-28,Batch
-39.63142,-73.33639,Sur,ERP,Medio,3,3375,1012,2025-01-05,Streaming
-39.67077,-73.30917,Sur,Web,Alto,5,11249,1349,2025-05-12,Batch
-39.75993,-73.36365,Sur,ERP,Alto,5,14708,3530,2025-04-27,Streaming
-33.29424,-70.69941,Centro,CRM,Bajo,1,599,59,2025-05-30,Streaming
-33.38855,-70.77987,Centro,POS,Bajo,1,3524,1057,2025-01-07,Batch
-23.63397,-70.21814,Norte,IoT,Bajo,1,3951,1580,2025-02-25,Batch
-33.60076,-70.48079,Centro,CRM,Medio,3,2274,758,2025-01-24,Batch
-39.8134,-73.37485,Sur,CRM,Alto,5,18356,3671,2025-05-10,Streaming
-39.9752,-73.25722,Sur,ERP,Medio,2,9991,1498,2025-02-28,Streaming
-39.69593,-73.08962,Sur,CRM,Bajo,1,1238,495,2025-06-27,Batch
-39.69905,-73.09346,Sur,Web,Medio,3,8025,1337,2025-04-04,Batch
-33.56837,-70.69854,Centro,IoT,Bajo,0,0,0,2025-04-15,Batch
-39.73099,-73.3721,Sur,IoT,Bajo,0,0,589,2025-02-04,Streaming
-33.4595,-70.50018,Centro,IoT,Alto,4,13324,2997,2025-02-02,Batch
-23.75978,-70.56712,Norte,CRM,Bajo,1,3724,744,2025-04-29,Streaming
-39.78913,-73.08657,Sur,IoT,Alto,4,9859,1478,2025-02-16,Batch
-23.51585,-70.50487,Norte,IoT,Medio,2,6041,2718,2025-06-09,Streaming
-23.55202,-70.33782,Norte,ERP,Medio,3,5515,1470,2025-01-17,Streaming
-23.4641,-70.54951,Norte,IoT,Bajo,1,3386,1693,2025-05-10,Streaming
-23.79332,-70.32777,Norte,Web,Alto,4,17615,3963,2025-05-19,Batch
-23.70021,-70.55994,Norte,CRM,Alto,4,19684,2952,2025-04-13,Streaming
-33.2925,-70.6728,Centro,CRM,Alto,5,4463,803,2025-04-16,Streaming
-23.54416,-70.2772,Norte,POS,Alto,4,10787,2696,2025-03-12,Batch
-39.72414,-73.06226,Sur,Web,Medio,2,8049,2414,2025-06-10,Batch
-39.84469,-73.1111,Sur,ERP,Alto,5,6528,783,2025-01-29,Streaming
-39.95262,-73.1561,Sur,Web,Alto,4,8105,1418,2025-06-20,Batch
-33.62734,-70.81792,Centro,POS,Medio,2,7714,3856,2025-01-26,Streaming
-39.82201,-73.20357,Sur,Web,Alto,4,19328,5315,2025-06-04,Streaming
-23.61975,-70.55301,Norte,POS,Medio,3,12079,3623,2025-05-27,Batch
-39.72225,-73.26728,Sur,ERP,Bajo,0,0,313,2025-04-02,Streaming
-23.73935,-70.28652,Norte,IoT,Bajo,1,4661,1398,2025-05-08,Streaming
-39.80471,-73.11794,Sur,Web,Alto,5,21425,2571,2025-04-08,Streaming
-33.50976,-70.53764,Centro,Web,Bajo,0,0,0,2025-04-12,Streaming
-23.81265,-70.31533,Norte,CRM,Alto,4,17013,3827,2025-03-17,Streaming
-33.25022,-70.68299,Centro,CRM,Bajo,0,0,1599,2025-04-23,Batch
-23.73128,-70.21416,Norte,IoT,Alto,4,10693,3207,2025-06-10,Batch
-33.3673,-70.46723,Centro,ERP,Bajo,1,2441,1464,2025-06-29,Streaming
-23.81135,-70.23301,Norte,Web,Alto,4,8574,1071,2025-03-10,Streaming
-39.84485,-73.20357,Sur,IoT,Alto,5,14256,3706,2025-06-24,Streaming
-33.4221,-70.48106,Centro,POS,Medio,3,8276,1379,2025-03-01,Streaming
-23.54348,-70.20793,Norte,Web,Alto,4,3111,699,2025-02-11,Batch
-39.71051,-73.04416,Sur,IoT,Medio,2,6190,928,2025-04-08,Batch
-33.5768,-70.73552,Centro,CRM,Bajo,1,3120,623,2025-06-15,Streaming
-33.34927,-70.65045,Centro,Web,Bajo,0,0,405,2025-03-25,Batch
-39.79465,-73.09626,Sur,CRM,Bajo,1,1453,1307,2025-04-23,Batch
-23.52426,-70.42196,Norte,CRM,Medio,2,9464,2839,2025-05-08,Streaming
-39.652,-73.06487,Sur,POS,Bajo,0,0,888,2025-05-06,Batch
-33.62655,-70.46706,Centro,Web,Bajo,0,0,3955,2025-03-14,Streaming
