Sistema_Origen,Tipo_Pipeline,Prioridad,Region,Dia_Semana,Nivel_Duplicados,Rechazos,Reglas_Calidad,Reintentos
POS,Streaming,Alta,Norte,Wednesday,Alto,Rechazos_Alto,Reglas_Muchas,Reint_1
CRM,Batch,Media,Centro,Sunday,Medio,Rechazos_Alto,Reglas_Muchas,Reint_1
POS,Streaming,Baja,Centro,Wednesday,Medio,Rechazos_Bajo,Reglas_Pocas,Reint_2
POS,Batch,Media,Sur,Monday,Alto,Rechazos_Alto,Reglas_Muchas,Reint_2
ERP,Streaming,Baja,Centro,Tuesday,Alto,Rechazos_Alto,Reglas_Pocas,Reint_1
POS,Batch,Alta,Centro,Tuesday,Medio,Rechazos_Alto,Reglas_Muchas,Reint_1
Web,Streaming,Alta,Norte,Wednesday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_1
IoT,Streaming,Baja,Centro,Thursday,Medio,Rechazos_Bajo,Reglas_Pocas,Reint_2
CRM,Streaming,Alta,Centro,Friday,Alto,Rechazos_Medio,Reglas_Muchas,Reint_0
POS,Batch,Baja,Norte,Monday,Alto,Rechazos_Alto,Reglas_Muchas,Reint_0
ERP,Streaming,Baja,Sur,Sunday,Medio,Rechazos_Medio,Reglas_Muchas,Reint_1
Web,Batch,Media,Sur,Monday,Alto,Rechazos_Medio,Reglas_Pocas,Reint_0
ERP,Streaming,Alta,Sur,Sunday,Alto,Rechazos_Alto,Reglas_Muchas,Reint_0
CRM,Streaming,Alta,Centro,Friday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_1
POS,Batch,Baja,Centro,Tuesday,Bajo,Rechazos_Medio,Reglas_Pocas,Reint_0
IoT,Batch,Baja,Norte,Tuesday,Bajo,Rechazos_Medio,Reglas_Pocas,Reint_1
CRM,Batch,Alta,Centro,Friday,Medio,Rechazos_Bajo,Reglas_Pocas,Reint_1
CRM,Streaming,Media,Sur,Saturday,Alto,Rechazos_Alto,Reglas_Pocas,Reint_1
ERP,Streaming,Alta,Sur,Friday,Medio,Rechazos_Medio,Reglas_Pocas,Reint_1
CRM,Batch,Baja,Sur,Friday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_2
Web,Batch,Baja,Sur,Friday,Medio,Rechazos_Medio,Reglas_Pocas,Reint_0
IoT,Batch,Media,Centro,Tuesday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_1
IoT,Streaming,Baja,Sur,Tuesday,Bajo,Rechazos_Bajo,Reglas_Muchas,Reint_0
IoT,Batch,Baja,Centro,Sunday,Alto,Rechazos_Alto,Reglas_Medias,Reint_2
CRM,Streaming,Alta,Norte,Tuesday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_0
IoT,Batch,Alta,Sur,Sunday,Alto,Rechazos_Medio,Reglas_Pocas,Reint_2
IoT,Streaming,Media,Norte,Monday,Medio,Rechazos_Alto,Reglas_Muchas,Reint_0
ERP,Streaming,Alta,Norte,Friday,Medio,Rechazos_Medio,Reglas_Muchas,Reint_2
IoT,Streaming,Alta,Norte,Saturday,Bajo,Rechazos_Medio,Reglas_Pocas,Reint_1
Web,Batch,Alta,Norte,Monday,Alto,Rechazos_Alto,Reglas_Muchas,Reint_2
CRM,Streaming,Alta,Norte,Sunday,Alto,Rechazos_Alto,Reglas_Pocas,Reint_2
CRM,Streaming,Media,Centro,Wednesday,Alto,Rechazos_Bajo,Reglas_Pocas,Reint_2
POS,Batch,Baja,Norte,Wednesday,Alto,Rechazos_Alto,Reglas_Medias,Reint_0
Web,Batch,Baja,Sur,Tuesday,Medio,Rechazos_Alto,Reglas_Pocas,Reint_0
ERP,Streaming,Media,Sur,Wednesday,Alto,Rechazos_Bajo,Reglas_Medias,Reint_1
Web,Batch,Media,Sur,Friday,Alto,Rechazos_Medio,Reglas_Medias,Reint_0
POS,Streaming,Baja,Centro,Sunday,Medio,Rechazos_Alto,Reglas_Pocas,Reint_1
Web,Streaming,Alta,Sur,Wednesday,Alto,Rechazos_Alto,Reglas_Medias,Reint_2
POS,Batch,Media,Norte,Tuesday,Medio,Rechazos_Alto,Reglas_Muchas,Reint_2
ERP,Streaming,Media,Sur,Wednesday,Bajo,Rechazos_Bajo,Reglas_Medias,Reint_1
IoT,Streaming,Media,Norte,Thursday,Bajo,Rechazos_Medio,Reglas_Pocas,Reint_2
Web,Streaming,Alta,Sur,Tuesday,Alto,Rechazos_Alto,Reglas_Pocas,Reint_1
Web,Streaming,Baja,Centro,Saturday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_0
CRM,Streaming,Baja,Norte,Monday,Alto,Rechazos_Alto,Reglas_Pocas,Reint_1
CRM,Batch,Baja,Centro,Wednesday,Bajo,Rechazos_Medio,Reglas_Pocas,Reint_1
IoT,Batch,Alta,Norte,Tuesday,Alto,Rechazos_Alto,Reglas_Muchas,Reint_2
ERP,Streaming,Alta,Centro,Sunday,Bajo,Rechazos_Medio,Reglas_Medias,Reint_1
Web,Streaming,Media,Norte,Monday,Alto,Rechazos_Medio,Reglas_Muchas,Reint_0
IoT,Streaming,Alta,Sur,Tuesday,Alto,Rechazos_Alto,Reglas_Medias,Reint_0
POS,Streaming,Media,Centro,Saturday,Medio,Rechazos_Medio,Reglas_Medias,Reint_0
Web,Batch,Baja,Norte,Tuesday,Alto,Rechazos_Bajo,Reglas_Muchas,Reint_0
IoT,Batch,Baja,Sur,Tuesday,Medio,Rechazos_Medio,Reglas_Medias,Reint_0
CRM,Streaming,Media,Centro,Sunday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_1
Web,Batch,Baja,Centro,Tuesday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_0
CRM,Batch,Alta,Sur,Wednesday,Bajo,Rechazos_Medio,Reglas_Medias,Reint_1
CRM,Streaming,Baja,Norte,Thursday,Medio,Rechazos_Alto,Reglas_Pocas,Reint_0
POS,Batch,Baja,Sur,Tuesday,Bajo,Rechazos_Bajo,Reglas_Medias,Reint_1
Web,Streaming,Media,Centro,Friday,Bajo,Rechazos_Alto,Reglas_Medias,Reint_2
Web,Streaming,Alta,Norte,Thursday,Medio,Rechazos_Bajo,Reglas_Muchas,Reint_0
ERP,Streaming,Media,Sur,Wednesday,Bajo,Rechazos_Alto,Reglas_Pocas,Reint_2
CRM,Batch,Media,Sur,Monday,Alto,Rechazos_Alto,Reglas_Muchas,Reint_1
POS,Batch,Media,Norte,Wednesday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_2
CRM,Streaming,Media,Norte,Thursday,Medio,Rechazos_Medio,Reglas_Muchas,Reint_2
ERP,Streaming,Baja,Centro,Thursday,Alto,Rechazos_Medio,Reglas_Pocas,Reint_2
IoT,Streaming,Baja,Sur,Friday,Bajo,Rechazos_Medio,Reglas_Medias,Reint_2
IoT,Streaming,Baja,Norte,Friday,Alto,Rechazos_Medio,Reglas_Pocas,Reint_0
Web,Batch,Baja,Norte,Sunday,Medio,Rechazos_Medio,Reglas_Pocas,Reint_2
POS,Batch,Media,Norte,Monday,Medio,Rechazos_Medio,Reglas_Pocas,Reint_1
Web,Batch,Media,Sur,Wednesday,Alto,Rechazos_Alto,Reglas_Pocas,Reint_0
ERP,Batch,Alta,Sur,Sunday,Bajo,Rechazos_Bajo,Reglas_Pocas,Reint_2
POS,Streaming,Alta,Norte,Sunday,Alto,Rechazos_Bajo,Reglas_Muchas,Reint_2
CRM,Streaming,Baja,Centro,Tuesday,Bajo,Rechazos_Medio,Reglas_Medias,Reint_0
